congregation_dir,congregation,denomination,tradition_family,location
anchorbaptist_text,Anchor Baptist Church,Baptist,Baptist,Maryland
baltbiblechurch_text,Baltimore Bible Church,Independent Bible Church,Bible/Nondenominational,"Baltimore, MD"
bethel_baptist_text,Bethel Baptist Church,Baptist,Baptist,Maryland
calvary_baptist_text,Calvary Baptist Church,Baptist,Baptist,Maryland
cheverly_baptist_text,Cheverly Baptist Church,Baptist,Baptist,"Cheverly, MD"
christreformedpca_text,Christ Reformed Presbyterian Church,Presbyterian Church in America (PCA),Presbyterian/Reformed,Maryland
columbia_pres_text,Columbia Presbyterian Church,Presbyterian,Presbyterian/Reformed,"Columbia, MD"
faithbiblemd_text,Faith Bible Church,Independent Bible Church,Bible/Nondenominational,Maryland
ferndale_baptist_text,Ferndale Baptist Church,Baptist,Baptist,"Ferndale, MD"
forest_hill_pres_text,Forest Hill Presbyterian Church,Presbyterian,Presbyterian/Reformed,"Forest Hill, MD"
goodnews_pres_text,Good News Presbyterian Church,Presbyterian,Presbyterian/Reformed,Maryland
grace_baptist_text,Grace Baptist Church,Baptist,Baptist,Maryland
grace_bible_baptist_text,Grace Bible Baptist Church,Baptist,Baptist,Maryland
grace_peace_pres_text,Grace and Peace Presbyterian Church,Presbyterian,Presbyterian/Reformed,Maryland
gracereformed_pres_text,Grace Reformed Presbyterian Church,Reformed Presbyterian,Presbyterian/Reformed,Maryland
greenbelt_baptist_text,Greenbelt Baptist Church,Baptist,Baptist,"Greenbelt, MD"
hopebible_text,Hope Bible Church,Independent Bible Church,Bible/Nondenominational,Maryland
household_faith_text,Household of Faith,Nondenominational,Bible/Nondenominational,Maryland
hunt_valley_baptist_text,Hunt Valley Baptist Church,Baptist,Baptist,"Hunt Valley, MD"
hyattsville_mennonite_text,Hyattsville Mennonite Church,Mennonite,Mennonite/Anabaptist,"Hyattsville, MD"
jessup_baptist_text,Jessup Baptist Church,Baptist,Baptist,"Jessup, MD"
kettering_baptist_text,Kettering Baptist Church,Baptist,Baptist,"Upper Marlboro, MD"
libertychurchpca_text,Liberty Church,Presbyterian Church in America (PCA),Presbyterian/Reformed,Maryland
marantha_baptist_text,Maranatha Baptist Church,Baptist,Baptist,Maryland
mission_bible_text,Mission Bible Church,Independent Bible Church,Bible/Nondenominational,Maryland
mlibc_text,MLIBC,Independent Bible Church,Bible/Nondenominational,Maryland
north_harford_baptist_text,North Harford Baptist Church,Baptist,Baptist,"North Harford, MD"
paint_branch_uu_text,Paint Branch Unitarian Universalist Church,Unitarian Universalist,Unitarian Universalist,"Adelphi, MD"
pilgrim_presbyterian_text,Pilgrim Presbyterian Church,Presbyterian,Presbyterian/Reformed,Maryland
rpcbowie_text,Reformed Presbyterian Church of Bowie,Reformed Presbyterian (RPCNA),Presbyterian/Reformed,"Bowie, MD"
severnrun_epchurch_text,Severn Run Evangelical Presbyterian Church,Evangelical Presbyterian (EPC),Presbyterian/Reformed,"Severn, MD"
shoreharvest_pres_text,Shore Harvest Presbyterian Church,Presbyterian,Presbyterian/Reformed,Maryland
ststephens_text,St. Stephen's Church,Unknown,Unknown,Maryland
trinity_reformed_presbyterian_text,Trinity Reformed Presbyterian Church,Reformed Presbyterian,Presbyterian/Reformed,Maryland
upper_crossroads_baptist_text,Upper Crossroads Baptist Church,Baptist,Baptist,"Baldwin, MD"
