col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2010",,,,,,,,,,,,,,,
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
University of St. Michael's College,,15,9,51,17,28,10,10,3,92,91,27,10,223,140
University of St. Thomas School of Theology,,87,60,81,16,27,19,0,0,0,0,0,0,195,95
University of the South School of Theology,,62,61,0,0,7,6,43,14,14,14,0,0,126,95
University of Winnipeg Faculty of Theology,,38,38,0,0,33,33,0,0,11,11,66,66,148,148
Urshan Graduate School of Theology,,9,9,22,14,16,12,0,0,0,0,0,0,47,35
Vancouver School of Theology,,65,46,0,0,10,5,5,2,11,6,40,15,131,74
Vanderbilt University Divinity School,,179,179,0,0,65,65,0,0,0,0,4,0,248,244
Virginia Theological Seminary,,99,99,14,9,20,20,84,28,0,0,24,15,241,171
Wake Forest University Divinity School,,95,95,0,0,0,0,0,0,0,0,0,0,95,95
Wartburg Theological Seminary,,135,131,7,5,5,5,0,0,1,1,32,3,180,145
"Washington Baptist Theological Seminary of Washington
Baptist University",,47,0,84,0,8,0,5,5,3,0,0,0,147,5
Washington Theological Union,,40,30,29,14,53,13,36,12,0,0,41,13,199,82
Waterloo Lutheran Seminary,,18,0,0,0,52,0,10,3,9,0,19,0,108,3
Wesley Biblical Seminary,,88,51,1,0,48,18,0,0,0,0,0,0,137,69
Wesley Theological Seminary,,349,277,0,0,105,61,188,63,0,0,47,9,689,410
Western Seminary,,172,107,240,141,70,34,71,44,22,6,104,42,679,374
Western Theological Seminary,,197,149,0,0,0,0,21,7,4,4,16,4,238,164
Westminster Theological Seminary,,233,190,91,55,52,34,121,40,107,82,0,0,604,401
Westminster Theological Seminary in California,,103,94,0,0,52,42,0,0,0,0,0,0,155,136
Winebrenner Theological Seminary,,38,25,17,17,13,7,13,4,0,0,1,0,82,53
World Mission University,,97,91,17,15,18,13,0,0,0,0,0,0,132,119
Wycliffe College,,61,43,0,0,101,51,11,4,63,60,31,8,267,166
Yale University Divinity School,,215,208,0,0,160,153,0,0,13,11,16,14,404,386
