"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh-day Adventist,,26,,450,,14,,563,,39,,501,,55,
Southern Baptist Convention,,72,,5078,,40,,1438,,73,,3828,,102,
"Swedenborgian Church, General Convention",,1,,2,,0,,0,,4,,5,,4,
Unitarian Universalist,,36,,289,,6,,9,,33,,107,,47,
United Church of Canada,,7,,153,,4,,35,,19,,174,,21,
United Church of Christ,,78,,575,,14,,27,,62,,457,,91,
United Methodist Church,,108,,3092,,63,,407,,115,,1283,,146,
United Pentecostal Church International,,16,,59,,10,,33,,18,,85,,25,
Wesleyan Church,,26,,61,,12,,30,,36,,85,,47,
Wisconsin Evangelical Lutheran Synod,,1,,1,,1,,1,,5,,8,,6,
"Total 246 32,361 158 10,989 241 30,769 256",,,,,,,,,,,,,,,
