col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
Christian Theological Seminary,ACCRED,I,W,IN,DISCPL,9545,9996,107,17,19,240,210,145,11235,180
Christian Witness Theological Seminary,ASSOC,I,A,CA,INTER,1045,1045,0,3,9,27,74,37,6500,650
Church Divinity School of the Pacific,ACCRED,I,W,CA,EPISC,4639,5224,20,10,13,0,76,53,16320,0
Cincinnati Bible Seminary,ACCRED,I,W,OH,CCHCHC,2992,3180,1,10,13,134,246,189,9100,500
Claremont School of Theology,ACCRED,I,W,CA,UMC,12130,12130,29,24,30,210,367,344,19050,830
Colgate Rochester Crozer Divinity School,ACCRED,I,W,NY,ABCUSA,3666,4041,21,7,7,19,105,66,9870,205
"Columbia International University - Seminary & School of
Missions",ACCRED,C,W,SC,INTER,5074,5535,5,15,26,98,455,329,9900,250
Columbia Theological Seminary,ACCRED,I,W,GA,PCUSA,11437,12612,176,22,24,198,387,243,12028,200
Concordia Lutheran Seminary (AB),ACCRED,I,W,AB,LUTHCA,1159,1169,4,3,4,21,19,16,6820,205
Concordia Lutheran Theological Seminary (ON),ACCRED,I,W,ON,LUTHCA,814,837,2,3,5,43,21,16,9252,63
Concordia Seminary (MO),ACCRED,I,W,MO,LUTHMS,23467,23870,56,23,29,271,644,434,22140,0
Concordia Theological Seminary (IN),ACCRED,I,W,IN,LUTHMS,11927,13332,20,23,24,178,321,252,23400,531
Covenant Theological Seminary,ACCRED,I,W,MO,PCA,11831,12425,21,18,22,89,698,391,16480,130
Dallas Theological Seminary,ACCRED,I,W,TX,INTER,31477,34403,66,54,73,229,1978,1080,12450,380
Denver Seminary,ACCRED,I,W,CO,INTER,10122,10713,9,23,40,165,979,519,13950,7
Dominican House of Studies,ACCRED,I,W,DC,RC,3979,3979,1,14,17,73,67,67,15120,250
Dominican School of Philosophy and Theology,ACCRED,I,W,CA,RC,2777,2822,1,12,15,496,99,81,14520,100
Dominican Study Center of the Caribbean,ACCRED,U,H,PR,RC,308,308,0,1,3,28,69,53,4200,360
Drew University Theological School,ACCRED,U,M,NJ,UMC,14555,15144,59,30,38,0,484,332,15874,700
Duke University Divinity School,ACCRED,U,W,NC,UMC,14079,14079,135,36,42,402,628,587,18400,0
Earlham School of Religion,ACCRED,C,W,IN,FRNDS,2291,2332,36,9,10,397,151,53,10719,400
Eastern Mennonite Seminary,ACCRED,C,W,VA,MBUS,2261,2261,4,6,10,85,143,58,13800,120
Ecumenical Theological Seminary,ACCRED,I,W,MI,INTER,1302,1302,0,10,21,30,195,107,13376,380
Eden Theological Seminary,ACCRED,I,W,MO,UCC,6056,6118,23,11,11,90,191,104,13500,295
Emmanuel Christian Seminary,ACCRED,I,W,TN,CCHCHC,3890,4519,6,7,11,149,115,59,12300,540
Emmanuel College of Victoria University,ACCRED,C,W,ON,UCCAN,4286,4286,0,11,14,75,175,118,5400,1483
Episcopal Divinity School,ACCRED,I,W,MA,EPISC,6692,7005,73,8,10,74,94,63,13781,50
Erskine Theological Seminary,ACCRED,C,W,SC,ARP,3379,3394,9,16,18,191,191,101,11700,275
Evangelical Seminary of Puerto Rico,ACCRED,I,H,PR,INTER,766,766,1,4,8,77,234,156,3960,240
Evangelical Theological Seminary,ACCRED,I,W,PA,EVCONG,2344,2344,3,6,11,86,125,76,11160,60
Florida Center for Theological Studies,ACCRED,I,W,FL,INTER,0,0,0,0,0,0,0,0,8640,300
Franciscan School of Theology,ACCRED,I,W,CA,RC,1968,2013,6,4,7,0,46,37,13000,160
Fresno Pacific Biblical Seminary,ACCRED,I,W,CA,MBNA,846,869,1,5,5,207,110,76,13167,0
Fuller Theological Seminary,ACCRED,I,W,CA,INTER,50350,58030,173,88,203,591,3708,1772,16800,132
Garrett-Evangelical Theological Seminary,ACCRED,I,W,IL,UMC,12892,14350,89,26,32,511,382,326,17110,430
General Theological Seminary,ACCRED,I,W,NY,EPISC,10853,13559,19,10,10,266,117,107,15000,400
George Fox Evangelical Seminary,ACCRED,C,W,OR,INTER,1869,1869,2,8,14,60,358,190,12180,318
George W. Truett Theological Seminary of Baylor University,ACCRED,U,W,TX,BAPBGCT,8739,8739,46,20,29,1863,471,288,12276,1872
Golden Gate Baptist Theological Seminary,ACCRED,I,W,CA,SBC,10059,11264,15,22,38,187,1545,639,5535,380
Gordon-Conwell Theological Seminary,ACCRED,I,W,MA,INTER,23832,26186,43,34,52,339,2005,1021,16530,530
Grace Theological Seminary,ACCRED,C,N,IN,FEGRACE,924,939,0,4,8,161,114,85,12840,0
Graduate Theological Union,ACCRED,I,W,CA,INTER,9134,9136,28,6,7,496,252,239,0,0
Grand Rapids Theological Seminary of Cornerstone University,ACCRED,C,W,MI,INTER,2443,2538,2,8,12,129,253,149,10928,580
Harding School of Theology,ACCRED,C,W,TN,CHUCHR,2365,2429,8,10,11,136,152,68,16352,616
Hartford Seminary,ACCRED,I,W,CT,INTER,4667,4669,39,11,21,74,150,88,0,0
Harvard University Divinity School,ACCRED,U,W,MA,INTER,35404,35601,553,41,52,524,341,336,24250,3070
Hazelip School of Theology,ACCRED,U,W,TN,CHUCHR,1044,1126,0,5,8,273,86,42,21320,0
Heritage Theological Seminary,ACCRED,I,W,ON,FEVBAPT,528,581,0,3,6,43,75,37,8700,0
Holy Cross Greek Orthodox School of Theology,ACCRED,I,W,MA,GRORTH,12825,14422,29,9,11,65,118,118,19900,550
