"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Saint Meinrad School of Theology,,115,100,0,0,130,75,0,0,0,0,0,0,245,175
Saint Paul School of Theology,,124,71,9,6,8,3,52,17,0,0,0,0,193,97
Saint Paul Seminary School of Divinity,,106,91,17,11,17,9,0,0,0,0,0,0,140,111
Saint Paul University Faculty of Theology,,0,0,16,16,17,12,20,7,21,21,0,0,74,56
Saint Vincent Seminary,,37,37,8,8,5,5,0,0,0,0,9,7,59,57
Samuel DeWitt Proctor School of Theology,,333,325,26,25,0,0,31,10,0,0,0,0,390,360
San Francisco Theological Seminary,,46,41,0,0,17,15,75,25,0,0,17,10,155,91
Seattle Pacific Seminary of Seattle Pacific University,,41,11,8,8,23,22,0,0,0,0,1,1,73,42
The Seattle School of Theology and Psychology,,34,26,253,241,0,0,0,0,0,0,0,0,287,267
Seattle University School of Theology and Ministry,,46,31,116,59,0,0,0,0,0,0,21,12,183,102
Seminary of the Southwest,,35,35,50,27,15,9,0,0,0,0,0,0,100,71
Seventh-day Adventist Theological Seminary,,423,370,168,25,26,21,200,67,89,89,0,0,906,572
Shaw University Divinity School,,102,97,16,14,0,0,0,0,0,0,0,0,118,111
Shepherd University School of Theology,,36,36,0,0,0,0,10,3,0,0,0,0,46,39
Shepherds Theological Seminary,,39,33,29,28,0,0,0,0,0,0,0,0,68,61
Sioux Falls Seminary,,84,43,34,17,2,2,20,7,0,0,23,8,163,77
Southeastern Baptist Theological Seminary,,"1,107",607,57,21,396,165,162,93,154,154,0,0,"1,876","1,040"
Southern Baptist Theological Seminary,,"1,625",988,325,153,47,27,202,106,273,247,145,69,"2,617","1,590"
Southwestern Baptist Theological Seminary,,877,466,477,235,223,117,310,129,236,236,311,59,"2,434","1,242"
SS. Cyril & Methodius Seminary,,36,36,2,2,15,2,0,0,0,0,0,0,53,40
St. Andrew's College,,17,12,0,0,8,1,3,1,3,1,10,4,41,19
St. Augustine's Seminary of Toronto,,60,44,24,6,8,4,0,0,0,0,60,20,152,74
St. Bernard's School of Theology and Ministry,,7,4,74,34,15,7,0,0,0,0,0,0,96,45
St. Charles Borromeo Seminary,,48,48,0,0,67,37,0,0,0,0,0,0,115,85
St. John Vianney Theological Seminary,,71,71,0,0,0,0,0,0,0,0,0,0,71,71
St. John's Seminary (CA),,93,93,9,2,6,1,0,0,0,0,0,0,108,96
St. John's Seminary (MA),,70,69,72,32,13,7,0,0,0,0,0,0,155,108
St. John's University School of Theology - Seminary,,28,25,27,17,23,18,0,0,5,4,37,11,120,75
St. Joseph's Seminary,,92,92,0,0,72,31,0,0,0,0,0,0,164,123
St. Mark's College,,0,0,20,11,9,5,0,0,0,0,20,11,49,27
St. Mary's Seminary and University,,62,61,16,7,36,18,0,0,0,0,83,36,197,122
St. Patrick's Seminary and University,,86,86,0,0,7,7,0,0,0,0,0,0,93,93
St. Peter's Seminary,,32,25,0,0,8,3,0,0,0,0,0,0,40,28
St. Stephen's College,,0,0,85,33,23,6,23,8,2,0,169,18,302,65
St. Thomas University School of Theology and Ministry,,20,15,10,8,0,0,0,0,28,28,0,0,58,51
St. Tikhon's Orthodox Theological Seminary,,27,26,0,0,0,0,0,0,0,0,6,6,33,32
St. Vincent de Paul Regional Seminary,,83,83,0,0,23,23,0,0,0,0,0,0,106,106
St. Vladimir's Orthodox Theological Seminary,,43,42,0,0,25,24,0,0,12,12,0,0,80,78
Starr King School for the Ministry,,60,60,6,6,0,0,0,0,0,0,28,28,94,94
Talbot School of Theology,,424,205,152,68,298,122,220,79,64,52,0,0,"1,158",526
Taylor College and Seminary,,39,20,10,5,16,7,0,0,0,0,0,0,65,32
Toronto School of Theology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity College Faculty of Divinity,,35,22,0,0,39,12,8,3,23,19,39,11,144,67
Trinity Episcopal School for Ministry,,55,40,2,1,47,27,63,21,4,2,0,0,171,91
Trinity Evangelical Divinity School,,306,196,131,92,226,193,165,55,251,235,78,20,"1,157",791
Trinity Lutheran Seminary,,66,58,16,7,16,9,7,2,11,7,0,0,116,83
Tyndale University College & Seminary,,414,232,0,0,151,64,41,14,16,9,83,26,705,345
Union Presbyterian Seminary,,151,134,23,14,0,0,0,0,25,25,7,4,206,177
Union Theological Seminary,,141,127,0,0,36,34,0,0,52,52,0,0,229,213
