Freed-Hardeman University Graduate School of Theology,Candidate,Accredited
Georgia Central University School of Divinity,Candidate,Accredited
Grace School of Theology,Candidate,Accredited
Grand Canyon Theological Seminary,Associate,Candidate
Holy Apostles College and Seminary,Candidate,Accredited
Loyola University Chicago,Associate,Candidate
Lutheran Theological Seminary at Gettysburg,Accredited,Merger
Lutheran Theological Seminary at Philadelphia,Accredited,Merger
Neal T. Jones Seminary of Washington University of Virginia,Candidate,Accredited
Palm Beach Atlantic University School of Ministry Graduate Department,Associate,Candidate
Shepherd University School of Theology,Accredited,Withdrawn
St. Thomas University School of Theology and Ministry,Associate,
