Code,Church/Denomination
ADCHCH,Advent Christian Church
AME,African Methodist Episcopal
AMEZ,African Methodist Episcopal Zion
ABCUSA,American Baptist Churches USA
ANGL,Anglican Church of Canada
ANGOTH,"Anglican, Other"
AntOrthNA,Antiochian Orthodox Christian Archdiocese of North America
AOG,Assemblies of God
ARP,Associate Reformed Presbyterian Church
ASGSPC,Associated Gospel Churches of Canada
BAPT,Baptist
BAPTOQ,Baptist Convention of Ontario and Quebec
BGAV,Baptist General Association of Virginia
BAPBGCT,Baptist General Convention of Texas
BAPTMA,Baptist Missionary Association of America
BAPTNC,Baptist State Convention of North Carolina
BAPTOTH,"Baptist, Other"
BRCHAO,"Brethren Church (Ashland, Ohio)"
BRCHCH,Brethren in Christ Church
BRETHOTH,"Brethren, Other"
BUDDHIST,Buddhist
BYZANTIN,Byzantine Catholic
CANBAPTATL,Canadian Baptists of Atlantic Canada
BAPTWC,Canadian Baptists of Western Canada
CNBC,Canadian National Baptist Convention
CANREF,Canadian Reformed Churches
CATHOTH,"Catholic, Other"
CMA,Christian and Missionary Alliance
CHPBRE,Christian Brethren (Plymouth Brethren)
DISCPL,Christian Church (Disciples of Christ)
CCHCHC,Christian Churches and Churches of Christ
CHMEEP,Christian Methodist Episcopal
CRC,Christian Reformed Church
COGAND,"Church of God (Anderson, Indiana)"
COGCLEV,"Church of God (Cleveland, Tennessee)"
CGODIC,Church of God in Christ
CHBRETH,Church of the Brethren
CHNAZ,Church of the Nazarene
CHUCHR,Churches of Christ
CHUCHROTH,"Churches of Christ-Christian Churches, Other"
