Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2017,2018,2019,2020,2021
Master's Degree Programs,,,,,
MDiv,"21,198","21,922","22,005","22,053","20,189"
MA (prof),"7,642","8,288","8,417","8,592","8,681"
MA (acad),"6,021","7,618","7,108","7,285","5,858"
MA (both),0,0,0,0,"1,102"
Subtotal MA,"13,663","15,906","15,525","15,877","15,641"
ThM/MTh/STM,"1,104","1,049",761,793,843
Doctoral Degree Programs,,,,,
DMin,"2,903","2,898","3,105","3,133","3,415"
Other Prof Dr,808,"1,198","1,439","1,575","1,596"
Subtotal DMin and Other Prof Dr,"3,711","4,096","4,544","4,708","5,011"
PhD/ThD,"3,896","4,036","4,116","3,939","4,017"
Non-Degree Programs,,,,,
NonDegree,"2,361","2,285","2,073","2,081","2,405"
Total,"45,933","49,294","49,023","49,451","48,105"
