Table 4.6 Total Revenue and Expenditures,col_1,col_2,col_3
All Member Schools,,,
,"Revenue*
($000s)","Expenditures
($000s)","Surplus/Deficit
($000s)"
2017-18,"2,521,278","1,930,565","590,713"
2018-19,"2,414,397","2,004,821","409,576"
2019-20,"2,298,674","2,054,553","244,120"
2020-21,"2,157,486","2,040,609","116,877"
2021-22,"4,269,766","1,978,265","2,291,501"
United States,,,
,"Revenue*
($000s)","Expenditures
($000s)","Surplus/Deficit
($000s)"
2017-18,"2,380,785","1,816,435","564,350"
2018-19,"2,288,447","1,888,347","400,100"
2019-20,"2,162,967","1,929,294","233,672"
2020-21,"2,027,625","1,915,688","111,938"
2021-22,"4,089,150","1,859,147","2,230,004"
Canada,,,
,"Revenue*
($000s)","Expenditures
($000s)","Surplus/Deficit
($000s)"
2017-18,"140,493","114,130","26,363"
2018-19,"125,951","116,474","9,476"
2019-20,"135,707","125,259","10,448"
2020-21,"129,861","124,921","4,940"
2021-22,"180,616","119,118","61,498"
* Revenues include market gains and losses on investments.,,,
