United States,col_1,col_2,col_3,col_4,col_5,col_6
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD
Applications,,,,,,
,2021,"11,825","13,565",878,"4,564","2,127"
,2022,"12,279","14,420","1,027","5,392","2,353"
Acceptances,,,,,,
2021,,"8,809","9,338",628,"3,071",743
,% of applications,75%,69%,72%,67%,35%
2022,,"9,229","9,542",678,"3,021",919
,% of applications,75%,66%,66%,56%,39%
New Enrollees,,,,,,
2021,,"5,980","6,529",406,"2,453",542
,% of acceptances,68%,70%,65%,80%,73%
2022,,"5,831","6,706",465,"2,420",707
,% of acceptances,63%,70%,69%,80%,77%
