Table 2.3 Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2018,276,"21,851","15,864","1,049","4,096","4,036","46,896","2,285","49,181"
2019,274,"21,935","15,484",761,"4,544","4,116","46,840","2,073","48,913"
2020,274,"21,995","15,841",793,"4,708","3,939","47,277","2,081","49,358"
2021,271,"20,187","15,631",744,"5,011","4,017","45,590","2,405","47,995"
2022,282,"19,360","16,187",728,"5,107","4,113","45,495","2,241","47,736"
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2018,237,"20,819","14,946","1,005","3,972","3,718","44,459","1,992","46,451"
2019,235,"20,872","14,494",700,"4,427","3,807","44,299","1,808","46,107"
2020,236,"21,035","14,781",746,"4,589","3,678","44,829","1,787","46,616"
2021,234,"19,278","14,623",675,"4,888","3,773","43,236","2,101","45,337"
2022,244,"18,576","15,253",673,"4,982","3,879","43,363","2,016","45,379"
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2018,39,"1,033",918,44,124,318,"2,437",294,"2,730"
2019,39,"1,063",990,61,117,309,"2,541",266,"2,806"
2020,38,960,"1,060",47,119,261,"2,447",294,"2,741"
2021,37,910,"1,009",69,123,244,"2,354",304,"2,659"
2022,38,784,934,55,125,234,"2,132",225,"2,357"
Table 2.3 reports fall full time equivalent enrollment over a five-year period.,,,,,,,,,
