"Table 2.11 Head Count Enrollment by Degree Program, Age, and Gender, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,Under 22,,,22 - 24,,,25 - 29,,,30 - 34,,,35 - 39,,
,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,,,
MDiv,154,66,2,2607,909,22,5037,1474,49,3445,986,44,2529,1007,43
MA (prof),43,77,0,461,876,3,1031,1479,9,1025,973,6,948,827,9
MA (acad),32,30,1,523,492,13,1200,723,16,1041,493,9,858,505,7
MA (both),1,3,0,67,79,2,187,124,3,184,80,3,166,96,1
Subtotal MA,76,110,1,1051,1447,18,2418,2326,28,2250,1546,18,1972,1428,17
ThM/MTh/STM,2,0,0,19,7,0,141,39,3,235,37,2,217,35,3
Doctoral Degree Programs,,,,,,,,,,,,,,,
DMin,1,0,0,3,1,0,137,30,0,509,109,0,1080,208,2
Other Prof Dr,0,0,0,0,0,0,37,16,0,85,46,0,134,57,0
"Subtotal DMin and
Other Prof Dr",1,0,0,3,1,0,174,46,0,594,155,0,1214,265,2
PhD/ThD,2,0,0,14,5,0,246,110,2,593,181,1,726,193,0
Non-Degree Programs,,,,,,,,,,,,,,,
NonDegree,57,34,1,137,115,2,236,172,6,326,172,8,368,192,9
Total,292,210,4,3831,2484,42,8252,4167,88,7443,3077,73,7026,3120,74
,40 - 49,,,50 - 64,,,65 and Over,,,Not Reported,,,Total,,
,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,,,
MDiv,3255,1941,50,2290,2085,48,296,325,11,261,55,2,19874,8848,271
MA (prof),1564,1567,17,1348,1553,11,185,257,0,122,116,3,6727,7725,58
MA (acad),1261,781,15,1282,891,10,284,206,6,146,71,1,6627,4192,78
MA (both),280,194,0,226,215,0,50,48,0,11,16,0,1172,855,9
Subtotal MA,3105,2542,32,2856,2659,21,519,511,6,279,203,4,14526,12772,145
ThM/MTh/STM,245,48,3,158,45,1,34,10,1,53,6,0,1104,227,13
Doctoral Degree Programs,,,,,,,,,,,,,,,
DMin,2853,667,7,2614,1173,5,432,320,0,77,21,3,7706,2529,17
Other Prof Dr,326,161,0,391,238,0,58,40,0,4,3,0,1035,561,0
"Subtotal DMin and
Other Prof Dr",3179,828,7,3005,1411,5,490,360,0,81,24,3,8741,3090,17
PhD/ThD,906,258,4,489,174,2,65,24,1,13,8,0,3054,953,10
Non-Degree Programs,,,,,,,,,,,,,,,
NonDegree,644,407,27,705,575,25,180,181,10,70,67,5,2723,1915,93
Total,11334,6024,123,9503,6949,102,1584,1411,29,757,363,14,50022,27805,549
Data on age/enrollment are only collected in odd-numbered years. Data shown here are from the school year beginning in Fall 2021.,,,,,,,,,,,,,,,
