United States,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,502,272,435
2Average Salary,"97,987","89,320","97,965"
2Median Salary,"90,209","86,751","88,000"
3Average Salary and Housing,"101,520","93,791","101,696"
4Average Benefits,"11,757","14,568","14,830"
5Average Pension,"6,864","7,592","7,416"
6Total Compensation Average,"120,143","115,951","123,943"
Total Compensation 25th Percentile,"88,742","87,938","100,927"
Total Compensation Median,"112,015","111,663","115,132"
Total Compensation 75th Percentile,"142,815","139,762","138,872"
Associate Professor,,,
1Number,331,162,268
2Average Salary,"82,631","77,003","85,259"
2Median Salary,"80,096","77,935","81,000"
3Average Salary and Housing,"85,212","80,374","89,626"
4Average Benefits,"12,538","13,188","14,083"
5Average Pension,"6,059","6,064","6,250"
6Total Compensation Average,"103,809","99,627","109,960"
Total Compensation 25th Percentile,"82,831","84,431","93,644"
Total Compensation Median,"102,880","100,220","104,164"
Total Compensation 75th Percentile,"122,143","112,180","125,920"
Assistant Professor,,,
1Number,310,116,201
2Average Salary,"67,974","66,761","68,856"
2Median Salary,"67,320","68,299","69,070"
3Average Salary and Housing,"70,371","68,551","71,094"
4Average Benefits,"11,092","10,944","11,982"
5Average Pension,"5,884","4,915","4,098"
6Total Compensation Average,"87,348","84,412","87,175"
Total Compensation 25th Percentile,"70,000","66,790","73,836"
Total Compensation Median,"88,275","84,863","87,505"
Total Compensation 75th Percentile,"101,806","99,297","102,314"
Non-Ranked Faculty,,,
1Number,28,16,17
2Average Salary,"73,979","53,535","75,444"
2Median Salary,"65,128","48,585","71,096"
3Average Salary and Housing,"75,233","62,375","75,444"
4Average Benefits,"8,351","7,781","8,464"
5Average Pension,"4,036","4,715","4,812"
6Total Compensation Average,"87,621","74,872","88,720"
Total Compensation 25th Percentile,"59,340","36,000","62,640"
Total Compensation Median,"75,335","73,162","78,022"
Total Compensation 75th Percentile,"98,304","106,681","105,227"
