col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2021,2022
America Evangelical University Seminary,Candidate,Associate
Antiochian House of Studies,Associate,Accredited
Christ School of Theology,n/a,Associate
Crown College Graduate School of Ministry,n/a,Associate
Dickerson-Green Theological Seminary,n/a,Associate
Evangelia University Graduate School of Theology,Associate,Accredited
GETS Theological Seminary,n/a,Associate
Heritage Christian University Graduate School of Theology,n/a,Associate
Horizon College and Seminary,n/a,Associate
Inter American University of Puerto Rico-Metropolitan Campus,n/a,Associate
International Reformed University and Seminary,n/a,Associate
Pacific Christian College of Ministry and Biblical Studies,n/a,Associate
Southern California Seminary Graduate School of Bible and Theology,Associate,Accredited
The Master's Seminary,n/a,Associate
University of Northwestern-St. Paul School of Theology and Ministry,n/a,Associate
Villanova University Department of Theology and Religious Studies,Candidate,Accredited
