Canada,col_1,col_2,col_3,col_4,col_5,col_6
,2020-2021,,2021-2022,,2022-2023,
,$,N,$,N,$,N
Administrators,,,,,,
Chief Executive Officer,"146,425",33,"170,333",34,"173,883",35
Academic VP/Academic Dean,"119,416",36,"123,744",35,"131,886",36
Academic Dean - Other,"94,387",10,"112,537",7,"127,819",9
Vice President for Administration,"117,340",11,"142,773",9,"134,072",8
Executive Vice President,"144,394",3,"201,235",5,"121,525",4
Chief Development Officer,"106,517",16,"118,256",16,"109,490",17
Development Professional Staff,"75,856",8,"77,973",8,"84,764",7
Chief Financial Officer,"113,116",23,"112,600",21,"115,776",23
Dean of Students,"110,023",12,"112,111",11,"112,756",12
Director of Student Services,"75,978",7,"79,036",7,"87,306",8
Director of Graduate Studies,"113,067",8,"115,140",8,"128,860",7
Director of Doctor of Ministry,"72,285",3,"58,233",4,"63,875",5
Director of Field Education,"95,334",16,"91,167",17,"102,126",16
Director of Continuing Education,"108,379",4,"114,667",4,"115,064",5
Director of Formation,"79,112",10,"87,148",9,"78,830",9
Head Librarian - Admin./Faculty,"89,296",14,"96,099",12,"87,971",14
Librarian Professional Staff,"72,712",16,"71,476",18,"82,341",15
Information Systems Manager,"93,090",11,"92,953",13,"95,816",12
Admissions Officer,"76,546",15,"75,097",17,"74,308",14
Recruitment Officer,"84,731",11,"77,989",14,"81,890",14
Registrar,"90,597",30,"93,793",31,"95,975",29
Alumni Officer,-,2,-,2,-,2
Director of Extension/Distance Ed,"78,358",10,"77,420",10,"80,408",10
Financial Aid Officer,"69,373",7,"70,587",10,"66,849",9
Director of Assessment,"85,607",8,"89,342",6,"90,847",5
Director of Career/Placement Services,"105,805",3,"98,170",3,-,2
Director of Housing/Student Life,-,2,"110,824",3,"94,741",3
Director of Marketing/Communications,"85,698",11,"76,233",13,"77,112",13
Communications Associate,"62,733",16,"66,521",16,"59,284",14
Faculty,,,,,,
Professor,"126,027",84,"129,199",72,"136,131",82
Associate Professor,"104,126",85,"105,893",86,"111,082",90
Assistant Professor,"84,343",59,"88,133",81,"93,212",72
Non-Ranked Faculty,"76,417",9,"57,264",13,"69,381",10
