All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Dean of Students,,,,,,
Number,29,41,28,12,8,7
Average Salary,65476,77299,85823,106714,106621,89368
Median Salary,59175,77790,85000,87759,98640,80000
Average Salary and Housing,74880,83617,87981,109214,106621,95360
Average Benefits,12643,11818,23998,12241,15012,12536
Average Pension,3209,7986,7394,7517,7267,9084
Total Compensation Average,90733,103421,119374,128973,128901,116981
Total Compensation 25th Percentile,60724,86148,92319,100862,80934,86856
Total Compensation Median,85405,105958,107671,107445,125749,115214
Total Compensation 75th Percentile,112338,121300,136060,150908,139477,123921
Director of Student Services,,,,,,
Number,31,25,14,9,3,4
Average Salary,64135,60741,60370,77803,66166,71195
Median Salary,56732,60000,55100,67543,-,67000
Average Salary and Housing,65716,64101,61805,77803,66166,78946
Average Benefits,7002,11810,8250,9938,16305,8465
Average Pension,5003,4150,3612,5175,25045,7758
Total Compensation Average,77722,80062,73667,92917,107517,95169
Total Compensation 25th Percentile,60045,52053,52615,73580,-,79805
Total Compensation Median,70713,80654,69472,89697,-,84319
Total Compensation 75th Percentile,91244,102035,83276,105308,-,102896
Director of Graduate Studies,,,,,,
Number,13,26,16,7,4,8
Average Salary,58576,80725,87821,80126,93729,55745
Median Salary,66043,74727,85000,87000,82000,46818
Average Salary and Housing,61345,85332,90974,84412,94629,67110
Average Benefits,8063,11442,16488,11239,19383,13179
Average Pension,2463,6358,5227,6120,4501,5788
Total Compensation Average,71872,103133,112689,101771,118513,86079
Total Compensation 25th Percentile,45622,91079,85800,78069,105760,58898
Total Compensation Median,67892,100764,104002,111436,105776,92318
Total Compensation 75th Percentile,88134,116234,130393,115536,115023,100673
Director of Doctor of Ministry,,,,,,
Number,29,31,27,8,9,5
Average Salary,67876,74849,82339,81907,99013,88384
Median Salary,73947,77000,84897,81438,88847,85000
Average Salary and Housing,69766,76105,85094,81907,99413,88384
Average Benefits,9289,12384,11739,9365,22546,16578
Average Pension,4489,6036,5174,6283,7003,6339
Total Compensation Average,83544,94525,102008,97557,128964,111301
Total Compensation 25th Percentile,47320,64515,82262,75853,109119,94146
Total Compensation Median,94134,89435,95625,99039,124023,111296
Total Compensation 75th Percentile,112258,111962,120577,111552,131801,124844
