"Table 4.1 Average Tuition and Fees Charged for Selected Degree Programs by Full-Time
Equivalent Enrollment",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States,,,,Canada,,,
,2021-22,,2022-23,,2021-22,,2022-23,
,Average,N,Average,N,Average,N,Average,N
Master's Degree Programs (MDiv),,,,,,,,
< 75,"16,490",75,"16,088",86,"7,623",20,"8,477",23
75 - 150,"16,421",74,"17,785",70,"9,722",9,"9,107",6
151 - 300,"19,022",43,"18,601",43,"12,827",3,"13,004",3
301 - 500,"18,519",13,"19,727",13,"12,150",1,"12,474",1
501 - 1000,"16,006",9,"15,590",9,0,0,0,0
> 1000,"11,090",7,"11,168",7,0,0,0,0
Doctoral Degree Programs (DMin),,,,,,,,
< 75,"19,451",37,"16,361",47,"18,838",8,"19,498",10
75 - 150,"17,545",53,"21,353",50,"22,157",5,"23,555",3
151 - 300,"22,632",31,"20,234",31,"20,625",1,"20,625",1
301 - 500,"24,869",12,"25,991",9,"20,628",1,"20,916",1
501 - 1000,"28,791",8,"27,658",9,0,0,0,0
> 1000,"13,695",8,"13,840",8,0,0,0,0
Doctoral Degree Programs (PhD/ThD),,,,,,,,
< 75,"10,555",3,"11,156",9,"8,812",5,"8,576",6
75 - 150,"14,605",15,"18,425",16,"7,759",4,"8,043",3
151 - 300,"27,769",21,"28,097",17,"17,526",1,"18,210",1
301 - 500,"22,795",8,"24,779",7,0,0,0,0
501 - 1000,"20,796",7,"20,646",8,0,0,0,0
> 1000,"9,294",8,"9,751",8,0,0,0,0
"Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.
N = Number reporting.",,,,,,,,
