"Table 4.2 Average Tuition, Fees Charged, and Selected Degree Programs at Independent,
University-Affiliated, and College-Affiliated Schools",col_1,col_2,col_3,col_4,col_5
,,United States,,Canada,
,,2021-22,2022-23,2021-22,2022-23
Master's Degree Programs (MDiv) per academic year,,,,,
,Independent,"16,995","17,330","7,884","8,351"
,University-Affiliated,"17,629","17,527","8,706","8,835"
,College-Affiliated,"15,184","15,549","10,807","10,917"
Doctoral Degree Programs (DMin) full program if completed within 3 years,,,,,
,Independent,"19,353","18,410","20,682","21,103"
,University-Affiliated,"24,112","24,348","18,252","18,510"
,College-Affiliated,"15,912","17,607","20,634","20,706"
Doctoral Degree Programs (PhD/ThD) per academic year,,,,,
,Independent,"16,440","17,114","11,363","11,570"
,University-Affiliated,"27,367","25,730","7,244","7,278"
,College-Affiliated,"10,165","9,695","6,830","6,830"
Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.,,,,,
