"Table 4.5 Average General Expenditure Per Full-Time Equivalent Student by Full-Time
Equivalent Enrollment Size",col_1,col_2,col_3,col_4
,2020-21,,2021-22,
,Average,N,Average,N
United States Schools,,,,
< 75,"71,192",79,"80,208",86
75 - 150,"48,653",76,"62,747",71
151 - 300,"48,162",45,"49,905",44
301 - 500,"54,814",14,"68,243",12
501 - 1000,"31,751",9,"40,187",9
> 1000,"27,246",8,"31,751",8
Canadian Schools,,,,
< 75,"60,575",23,"94,216",25
75 - 150,"30,260",9,"30,799",6
151 - 300,"23,900",3,"28,493",3
301 - 500,"37,088",1,"41,621",1
501 - 1000,0,0,0,0
> 1000,0,0,0,0
"All data is displayed in U.S. dollars.
N = Number reporting.",,,,
