Table 5.1 Total Giving by Source 2022,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
,,Operating Gifts,,,Capital Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,56048,8%,,34623,11%,
,Other Indiv. (incl. parents),250842,36%,,139245,46%,
,Subtotals,306890,44%,,173868,57%,
Organization,,,,,,,
,Foundations,225739,33%,,55345,18%,
,Corporations,25627,4%,,4947,2%,
,Religious Organizations,98708,14%,,23163,8%,
,Fundraising Consortia,7537,1%,,664,0%,
,Other Organizations,26652,4%,,47026,15%,
,Subtotals,384264,56%,,131146,43%,
Number of Respondents: 280,,,,,,,
United States,,,,,,,
,,Operating Gifts,,,Capital Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,52674,8%,,34065,12%,
,Other Indiv. (incl. parents),240544,36%,,135037,46%,
,Subtotals,293218,44%,,169102,57%,
Organization,,,,,,,
,Foundations,219713,33%,,54012,18%,
,Corporations,24653,4%,,4030,1%,
,Religious Organizations,93240,14%,,22176,8%,
,Fundraising Consortia,7473,1%,,664,0%,
,Other Organizations,26482,4%,,46849,16%,
,Subtotals,371561,56%,,127731,43%,
Number of Respondents: 243,,,,,,,
Canada,,,,,,,
,,Operating Gifts,,,Capital Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,4343,13%,,718,7%,
,Other Indiv. (incl. parents),13253,39%,,5415,51%,
,Subtotals,17596,52%,,6133,58%,
Organization,,,,,,,
,Foundations,7755,23%,,1716,16%,
,Corporations,1254,4%,,1180,11%,
,Religious Organizations,7037,21%,,1270,12%,
,Fundraising Consortia,82,0%,,0,0%,
,Other Organizations,220,1%,,228,2%,
,Subtotals,16349,48%,,4395,42%,
Number of Respondents: 37,,,,,,,
