Table 5.2 Total Gifts for Current Operations by Purpose,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,All Member Schools,,,United States,,,Canada,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Unrestricted,,,,,,,,,,
,Unrestricted,337885,49%,,322341,49%,,15544,59%,
Restricted,,,,,,,,,,
,Academic Divisions,45987,7%,,44377,7%,,1610,6%,
,Faculty and Staff,6480,1%,,6191,1%,,289,1%,
,Research,20585,3%,,20490,3%,,95,0%,
,Public Services,6810,1%,,6723,1%,,87,0%,
,Library,1585,0%,,1496,0%,,89,0%,
,Operations and Plant Maintenance,8645,1%,,8612,1%,,34,0%,
,Student Financial Aid,94121,14%,,91456,14%,,2665,10%,
,Other Restricted,169055,25%,,163092,25%,,5963,23%,
,Subtotal,353269,51%,,342438,52%,,10831,41%,
Total,,691153,100%,,664779,100%,,26375,100%,
All Member Schools and U.S. School amounts are in U.S. dollars. Canadian amounts reported in Canadian dollars.,,,,,,,,,,
