All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Library Staff,,,
Number,23,60,61
Average Salary,"61,865","59,134","64,869"
Median Salary,"63,685","59,405","64,480"
Average Salary and Housing,"61,865","59,134","64,869"
Average Benefits,"9,905","11,167","9,266"
Average Pension,"3,616","6,471","6,372"
Total Average,"75,386","76,772","80,507"
25th percentile,"54,469","63,516","64,277"
Median,"70,297","78,911","77,358"
75th percentile,"102,894","90,264","93,959"
Network Administrator,,,
Number,1,5,6
Average Salary,-,"62,091","62,645"
Median Salary,-,"55,000","56,650"
Average Salary and Housing,-,"62,091","62,645"
Average Benefits,-,"9,240","18,359"
Average Pension,-,"4,590","5,561"
Total Average,-,"75,921","86,565"
25th percentile,-,"53,490","61,559"
Median,-,"65,766","81,906"
75th percentile,-,"89,989","107,664"
Recruitment Staff,,,
Number,14,23,14
Average Salary,"61,986","59,103","64,862"
Median Salary,"60,400","60,000","51,121"
Average Salary and Housing,"61,986","59,103","64,862"
Average Benefits,"8,178","9,940","12,317"
Average Pension,"3,791","4,368","3,799"
Total Average,"73,955","73,411","80,978"
25th percentile,"49,430","50,494","55,952"
Median,"72,651","76,747","65,550"
75th percentile,"100,299","81,973","110,098"
