Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, All Member Schools",,,,,,
Expenditures,,2018-19,2019-20,2020-21,2021-22,2022-23
,Instruction,"11,584","11,984","11,695","12,733","14,829"
,Research,"1,126","1,288",960,"2,094","2,020"
,Public Service,"1,468","1,314","1,348","1,984","2,276"
,Library,"1,988","1,907","1,861","1,900","2,056"
,Academic Support,"2,583","3,166","3,224","3,079","3,950"
,Student Services,"2,162","2,304","2,204","2,545","2,891"
,Admissions,"1,131","1,102","1,084","1,244","1,236"
,Institutional Support,"9,153","8,752","8,356","8,901","10,811"
,Operation and Maintenance of Plant,"5,705","6,018","6,543","6,808","7,403"
,Scholarships and Fellowships,"4,363","4,595","4,762","5,101","5,515"
,Auxiliary Enterprises,"4,002","3,826","3,712","4,049","5,509"
,Total Expenditures,"36,741","37,408","37,204","40,100","46,660"
"Full-time Equivalent Student, All Member Schools",,,,,,
Expenditures,,2018-19,2019-20,2020-21,2021-22,2022-23
,Instruction,"17,568","17,176","17,219","19,101","21,566"
,Research,"1,626","1,573","1,359","2,759","2,813"
,Public Service,"2,310","2,488","2,207","2,829","3,137"
,Library,"3,215","2,706","2,678","2,777","3,087"
,Academic Support,"3,809","4,435","4,695","4,602","5,899"
,Student Services,"3,472","3,137","3,066","3,720","4,018"
,Admissions,"1,756","1,690","1,763","1,986","1,975"
,Institutional Support,"14,411","12,728","12,302","13,620","16,011"
,Operation and Maintenance of Plant,"9,017","8,580","9,338","9,866","10,813"
,Scholarships and Fellowships,"6,380","6,645","7,013","7,464","7,962"
,Auxiliary Enterprises,"5,705","5,223","5,171","5,671","7,485"
,Total Expenditures,"56,333","53,570","54,286","59,567","67,902"
