Table 1.6 Number of Accredited Schools Offering Approved Degrees by Category,col_1,col_2
All Member Schools,,
Degree Category,2022-2023,2023-2024
Master's Degree Programs (MDiv),246,242
Master's Degree Programs (MA),251,248
Master's Degree Programs (ThM/STM),82,89
Doctoral Degree Programs (DMin and Other Professional Doctorate),162,164
Doctoral Degree Programs (PhD/ThD),62,68
United States,,
Degree Category,2022-2023,2023-2024
Master's Degree Programs (MDiv),214,210
Master's Degree Programs (MA),221,217
Master's Degree Programs (ThM/STM),68,73
Doctoral Degree Programs (DMin and Other Professional Doctorate),147,148
Doctoral Degree Programs (PhD/ThD),54,60
Canada,,
Degree Category,2022-2023,2023-2024
Master's Degree Programs (MDiv),32,32
Master's Degree Programs (MA),30,31
Master's Degree Programs (ThM/STM),14,16
Doctoral Degree Programs (DMin and Other Professional Doctorate),15,16
Doctoral Degree Programs (PhD/ThD),8,8
