"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2023",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Orthodox Church in America,4,62,6,15,5,15,10,92
Orthodox Presbyterian,9,47,8,44,8,39,12,130
"Orthodox, Other",9,49,17,59,18,89,31,197
Other,147,4725,165,5931,145,4216,193,14872
Pentecostal Assemblies of Canada,10,48,15,71,14,48,21,167
"Pentecostal, Other",66,275,70,441,64,341,101,1057
Presbyterian Church (U.S.A.),79,522,63,204,70,482,103,1208
Presbyterian Church in America,32,542,38,539,41,402,54,1483
Presbyterian Church in Canada,10,44,8,32,10,35,16,111
Presbyterian Church International,8,14,4,11,8,17,13,42
"Presbyterian, Other",42,175,44,290,43,381,62,846
Progressive National Baptist Convention,8,17,2,2,11,22,16,41
Reformed Church in America,21,86,17,70,23,83,34,239
Reformed Church in Canada,0,0,1,1,0,0,1,1
Reformed Episcopal Church,2,5,2,3,5,7,6,15
Reformed Presbyterian,11,42,13,38,14,50,26,130
"Reformed, Other",14,56,21,58,16,86,32,200
Religious Society of Friends,5,22,7,20,7,9,13,51
"Religious Society of Friends, Other",0,0,1,1,0,0,1,1
Roman Catholic,80,1943,102,2288,78,1205,137,5436
Salvation Army,5,15,10,37,9,12,17,64
Seventh Day Baptist General Conference,1,1,0,0,3,3,4,4
Seventh-day Adventist,25,486,23,803,38,405,62,1694
Southern Baptist Convention,50,3906,49,3545,49,3880,76,11331
"Swedenborgian Church, General Convention",0,0,0,0,1,1,1,1
Ukrainian Orthodox Church of the USA,2,11,1,12,0,0,2,23
Unitarian Universalist,27,212,20,27,21,47,43,286
United Church of Canada,8,85,8,31,12,55,17,171
United Church of Christ,45,184,33,67,49,142,68,393
United Methodist Church,74,1369,67,430,71,728,103,2527
United Pentecostal Church International,8,38,6,74,8,9,13,121
Venture Church Network,0,0,2,2,0,0,2,2
Wesleyan Church,20,121,21,109,24,104,43,334
Wisconsin Evangelical Lutheran Synod,1,134,2,2,4,42,6,178
Total,256,26130,255,27751,238,22366,272,76247
