United States,col_1,col_2
,2023-2024,
,$,N
Administrators,,
Chief Executive Officer (CEO),"213,100",187
Chief Academic Officer (CAO),"136,868",175
Accreditation Liaison Officer (ALO),"75,768",6
Executive Vice President,"175,941",28
VP-Administration,"139,531",37
VP/Director-HR,"140,065",22
Chief Development Officer,"153,260",84
Chief Diversity Officer,"124,460",7
VP-Finance (CFO),"151,886",109
Chief Information Officer (CIO),"144,531",6
VP-Operations/Facilities (COO),"161,682",21
Academic Dean - Other,"119,358",93
Dean of Chapel/Chaplain,"99,819",19
Dean of Students,"109,524",63
Dean of International Student Services,-,3
Director/Chair of Academic Degree Program,"97,948",45
Director of Admissions,"84,842",35
Director of Advancement,"123,449",15
Director of Assessment,"82,666",34
Business Office Manager,"79,427",31
Director of Communications,"106,279",25
Director of Doctor of Ministry,"88,648",20
Director of Enrollment Management,"120,399",27
Facilities Director,"109,238",21
Director of Field Education,"87,684",49
Director of Financial Aid,"93,383",9
Director of Formation,"106,203",50
Director of Graduate Studies,"86,196",21
Director of Housing/Student Life,"90,414",11
Director of Institutional Effectiveness,"99,715",6
Director of Institutional Research,"82,144",6
Director of IT,"117,054",71
Director of Library,"95,332",94
Director of Continuing Education/Lifelong Learning,"108,703",47
Director of Marketing,"107,999",48
Director of Online Education/Distance Learning/Digital Learning,"99,386",38
