col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Academic Dean - Other,,,,,,
Number,13,20,14,7,28,17
Average Salary,93498,98213,112527,96613,100737,80708
Median Salary,91555,96932,108937,84371,91250,82593
Average Salary and Housing,93498,98813,113742,96613,100737,80708
Average Benefits,6994,12399,16580,16377,20406,17295
Average Pension,4708,6629,7981,7533,9005,4543
Total Compensation Average,105200,117840,138302,120524,130148,102546
Total Compensation 25th Percentile,80000,87080,112860,94150,108121,84046
Total Compensation Median,102000,119705,123743,101009,120186,105684
Total Compensation 75th Percentile,132759,133215,167088,111125,144000,117420
Dean of Chapel/Chaplain,,,,,,
Number,2,10,5,1,-,1
Average Salary,-,68222,75432,-,-,-
Median Salary,-,65817,-,-,-,-
Average Salary and Housing,-,71702,83832,-,-,-
Average Benefits,-,12794,11862,-,-,-
Average Pension,-,7115,4503,-,-,-
Total Compensation Average,-,91611,100197,-,-,-
Total Compensation 25th Percentile,-,72215,61892,-,-,-
Total Compensation Median,-,87806,98400,-,-,-
Total Compensation 75th Percentile,-,117752,99190,-,-,-
Dean of Students,,,,,,
Number,14,25,17,8,6,4
Average Salary,54915,79204,98035,88000,99887,-
Median Salary,51600,82243,90000,81752,100000,-
Average Salary and Housing,55629,86395,102250,88000,99887,-
Average Benefits,9120,12746,9530,11591,13498,-
Average Pension,3083,6842,9613,7212,8860,-
Total Compensation Average,67832,105983,121393,106802,122244,-
Total Compensation 25th Percentile,42942,82822,88733,72250,107850,-
Total Compensation Median,51600,102815,116000,97746,115105,-
Total Compensation 75th Percentile,84000,124983,163711,108218,145200,-
Director/Chair of Academic Degree Program,,,,,,
Number,4,17,8,7,10,2
Average Salary,-,62909,79219,118222,78934,-
Median Salary,-,64000,68250,88325,72500,-
Average Salary and Housing,-,63156,89258,118973,79294,-
Average Benefits,-,9878,8004,18977,14258,-
Average Pension,-,4921,5862,7963,9719,-
Total Compensation Average,-,77954,103125,145914,103271,-
Total Compensation 25th Percentile,-,60556,68250,89085,79252,-
Total Compensation Median,-,74604,99698,106843,107947,-
Total Compensation 75th Percentile,-,103622,132331,204175,137388,-
