All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Dean of Chapel/Chaplain,,Dean of Students,,"Director/Chair of Academic
Degree Program",,Director of Admissions,
Number,19,-,66,8,45,3,35,1
Average Salary,76218,-,84358,65331,77115,-,70393,-
Median Salary,76112,-,84000,48890,72100,-,71750,-
Average Salary and Housing,80261,-,88233,66038,79765,-,70535,-
Average Benefits,13139,-,12185,2942,11937,-,9361,-
Average Pension,6420,-,7152,5714,6247,-,4946,-
Total Compensation Average,99820,-,107570,74694,97949,-,84843,-
"Total Compensation 25th
Percentile",83562,-,84000,38750,67150,-,59808,-
Total Compensation Median,95415,-,108218,54843,89085,-,81281,-
"Total Compensation 75th
Percentile",117752,-,128404,71318,123379,-,105873,-
,Director of Advancement,,Director of Assessment,,Business Office Manager,,Director of Communications,
Number,15,3,36,1,31,2,25,2
Average Salary,104231,-,68251,-,67896,-,86930,-
Median Salary,93000,-,65796,-,68000,-,88400,-
Average Salary and Housing,106231,-,68390,-,68244,-,88370,-
Average Benefits,10177,-,6416,-,7593,-,11292,-
Average Pension,7041,-,5541,-,3590,-,6617,-
Total Compensation Average,123449,-,80346,-,79427,-,106279,-
"Total Compensation 25th
Percentile",87691,-,61808,-,66044,-,74002,-
Total Compensation Median,116204,-,75084,-,79076,-,103233,-
"Total Compensation 75th
Percentile",125180,-,93265,-,86954,-,115828,-
,"Director of Doctor of
Ministry",,"Director of Enrollment
Management",,Facilities Director,,Director of Field Education,
Number,21,-,27,1,22,1,49,1
Average Salary,75944,-,99040,-,85013,-,66979,-
Median Salary,78000,-,87091,-,77315,-,66414,-
Average Salary and Housing,75944,-,99040,-,87072,-,70519,-
Average Benefits,11555,-,13808,-,12250,-,11782,-
Average Pension,4681,-,7551,-,6696,-,5384,-
Total Compensation Average,92180,-,120400,-,106018,-,87685,-
"Total Compensation 25th
Percentile",72920,-,87630,-,82080,-,67830,-
Total Compensation Median,94136,-,103467,-,93694,-,90548,-
"Total Compensation 75th
Percentile",107200,-,133608,-,123427,-,107650,-
