Table 4.1 Average Annual Tuition and Fees Charged by Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States,,,,Canada,,,
,2023-24,,2024-25,,2023-24,,2024-25,
,Average,N,Average,N,Average,N,Average,N
Master's Degree Programs (MDiv),,,,,,,,
< 75,15814,83,17184,96,9351,21,9280,21
75 - 150,18750,71,17999,63,11470,8,11550,8
151 - 300,23426,33,20730,35,10713,2,8422,1
301 - 500,18783,11,16833,11,38880,1,0,0
501 - 1000,16965,13,17053,14,0,0,40824,1
> 1000,8314,6,10963,6,0,0,0,0
Doctoral Degree Programs (DMin),,,,,,,,
< 75,8676,45,7990,53,8012,8,8401,8
75 - 150,8540,47,9643,46,8295,5,7807,5
151 - 300,9442,25,8932,25,8042,1,8080,1
301 - 500,8067,8,7940,9,21708,1,0,0
501 - 1000,11529,14,9754,14,0,0,22788,1
> 1000,6522,6,6574,6,0,0,0,0
Doctoral Degree Programs (PhD/ThD),,,,,,,,
< 75,14231,12,15068,10,7869,6,7911,6
75 - 150,20345,14,22646,16,13042,2,7202,1
151 - 300,26828,17,22674,18,6997,1,13038,2
301 - 500,13033,4,10662,5,0,0,0,0
501 - 1000,16264,11,15222,12,0,0,0,0
> 1000,10670,6,10987,6,0,0,0,0
"Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.
N = Number reporting.",,,,,,,,
