"Table 4.2 Average Annual Tuition and Fees Charged at Independent, University-Affiliated, and
College-Affiliated Schools",col_1,col_2,col_3,col_4,col_5
,,United States,,Canada,
,,2023-24,2024-25,2023-24,2024-25
Master's Degree Programs (MDiv) per academic year,,,,,
,Independent,"17,546","17,800","9,117","9,010"
,University-Affiliated,"19,605","18,032","9,250","9,392"
,College-Affiliated,"16,549","17,171","14,720","15,155"
Doctoral Degree Programs (DMin) full program if completed within 3 years,,,,,
,Independent,"8,492","8,587","8,512","8,580"
,University-Affiliated,"11,454","9,811","6,408","6,451"
,College-Affiliated,"6,536","7,457","12,001","12,280"
Doctoral Degree Programs (PhD/ThD) per academic year,,,,,
,Independent,"16,693","16,346","10,901","10,940"
,University-Affiliated,"24,379","22,574","6,286","6,358"
,College-Affiliated,"7,472","9,531","6,930","6,967"
Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.,,,,,
