Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,146,107,2,1295,525,38,354,7810,3599,220,354,11983
,MA (prof),87,138,1,608,597,9,172,3197,3861,32,172,7262
,MA (acad),82,64,2,772,463,49,377,3445,2038,117,377,5977
,MA (both),18,19,0,238,224,11,72,1201,875,15,72,2163
,Subtotal MA,187,221,3,1618,1284,69,621,7843,6774,164,621,15402
,ThM/STM,17,2,0,206,69,1,17,961,244,15,17,1237
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,48,23,2,355,144,2,84,2620,1249,13,84,3966
,Other Prof Dr,5,5,0,29,25,0,1,200,208,0,1,409
,"Subtotal DMin and
Other Prof Dr",53,28,2,384,169,2,85,2820,1457,13,85,4375
,PhD/ThD,26,5,0,268,101,2,261,1567,576,22,261,2426
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,51,34,0,442,319,3,93,2244,1562,14,93,3913
Total,,480,397,7,4213,2467,115,1431,23245,14212,448,1431,39336
