Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2020,2021,2022,2023,2024
Master's Degree Programs,,,,,
MDiv,28941,27664,26378,24850,24773
MA (prof),12787,12868,12682,12769,13581
MA (acad),12330,11147,10403,10112,10140
MA (both),0,1572,2839,3210,3679
Subtotal MA,25117,25587,25924,26091,27400
ThM/STM,1159,1172,1165,1132,1059
Doctoral Degree Programs,,,,,
DMin,8540,9402,9979,9632,9760
Other Prof Dr,1528,1552,1455,1370,1439
Subtotal DMin and Other Prof Dr,10068,10954,11434,11002,11199
PhD/ThD,3678,3773,3879,3968,4243
Non-Degree Programs,,,,,
NonDegree,3562,3966,4006,4455,5518
Total,72525,73116,72786,71498,74192
Canada,,,,,
,2020,2021,2022,2023,2024
Master's Degree Programs,,,,,
MDiv,1514,1436,1331,1293,1309
MA (prof),945,1000,944,1006,1041
MA (acad),1205,538,424,381,310
MA (both),0,465,504,546,689
Subtotal MA,2150,2003,1872,1933,2040
ThM/STM,91,161,150,156,124
Doctoral Degree Programs,,,,,
DMin,217,237,215,254,250
Other Prof Dr,47,44,53,51,45
Subtotal DMin and Other Prof Dr,264,281,268,305,295
PhD/ThD,261,244,234,230,228
Non-Degree Programs,,,,,
NonDegree,786,780,688,748,827
Total,5066,4905,4543,4665,4823
