United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2020,,,2021,,,2022,,,2023,,,2024,,
,,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U
Asian or PI,Professor,72,16,0,74,19,0,84,19,0,79,20,0,86,18,0
,Associate Professor,54,25,0,61,25,0,57,27,0,54,25,1,55,24,1
,Assistant Professor,51,27,1,47,27,1,53,33,1,43,31,0,51,36,0
,Others,12,4,0,12,6,0,11,4,0,17,5,1,16,1,1
,Total,189,72,1,194,77,1,205,83,1,193,81,2,208,79,2
"Black (Non-
Hispanic)",Professor,65,23,0,62,23,0,65,31,0,65,31,0,65,29,0
,Associate Professor,51,28,0,55,36,0,55,37,0,48,34,0,47,36,0
,Assistant Professor,41,45,2,47,46,2,54,48,1,47,52,0,51,48,0
,Others,12,11,0,9,7,0,10,8,0,15,3,0,17,4,0
,Total,169,107,2,173,112,2,184,124,1,175,120,0,180,117,0
Hispanic,Professor,38,10,0,37,10,0,45,11,0,38,10,0,43,9,0
,Associate Professor,40,3,1,47,5,0,42,5,0,36,5,0,32,8,0
,Assistant Professor,29,17,1,26,17,1,33,16,0,40,19,0,45,19,0
,Others,8,10,0,10,6,0,11,11,0,7,5,0,5,6,0
,Total,115,40,2,120,38,1,131,43,0,121,39,0,125,42,0
Indigenous,Professor,1,0,0,1,1,0,2,1,0,2,0,0,3,0,0
,Associate Professor,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
,Assistant Professor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,1,0,0,1,1,0,2,1,0,2,1,0,3,1,0
"White (Non-
Hispanic)",Professor,919,198,2,886,189,1,855,186,0,785,176,0,768,174,0
,Associate Professor,424,149,1,431,149,1,407,147,1,360,136,0,354,130,0
,Assistant Professor,275,117,2,235,118,1,247,130,2,209,123,1,209,127,1
,Others,120,53,4,116,44,4,102,36,2,74,40,0,64,39,0
,Total,"1,738",517,9,"1,668",500,7,"1,611",499,5,"1,428",475,1,"1,395",470,1
Multiracial,Professor,3,2,0,4,2,0,4,2,0,1,1,0,1,1,0
,Associate Professor,5,4,0,4,3,0,5,3,0,5,2,0,6,3,1
,Assistant Professor,3,2,0,2,2,0,3,3,0,4,3,1,2,3,0
,Others,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0
,Total,11,9,0,10,8,0,14,9,0,11,6,1,10,7,1
Not Available,Professor,18,8,1,24,8,0,16,11,0,22,8,1,24,8,2
,Associate Professor,21,5,4,21,3,2,21,7,2,20,10,4,15,10,2
,Assistant Professor,18,8,7,16,9,3,24,9,3,25,6,0,25,9,0
,Others,14,6,2,13,5,3,16,5,2,14,5,3,8,5,6
,Total,71,27,14,74,25,8,77,32,7,81,29,8,72,32,10
Total Faculty,Professor,"1,118",257,3,"1,091",252,1,"1,075",262,0,992,246,1,990,239,2
,Associate Professor,600,215,6,622,223,3,591,228,3,523,213,5,509,212,4
,Assistant Professor,421,220,13,377,221,8,418,241,7,368,234,2,383,242,1
,Others,166,85,6,160,70,7,152,65,4,128,58,4,111,55,7
,Total,"2,305",777,28,"2,250",766,19,"2,236",796,14,"2,011",751,12,"1,993",748,14
