"Table 4.5 Average Total Expenditures Per Full-Time Equivalent Student by Full-Time
Equivalent Enrollment Size",col_1,col_2,col_3,col_4
,2023-24,,2024-25,
,Average,N,Average,N
United States Schools,,,,
< 75,93887,94,96819,105
75 - 150,67865,72,75642,68
151 - 300,75420,34,68741,35
301 - 500,47089,13,66998,11
501 - 1000,44026,14,42459,15
> 1000,22395,6,23474,6
Canadian Schools,,,,
< 75,79932,24,72002,23
75 - 150,38089,9,41101,9
151 - 300,53564,2,30709,2
301 - 500,48475,1,0,0
501 - 1000,0,0,46309,1
> 1000,0,0,0,0
"All data is displayed in U.S. dollars.
N = Number reporting.",,,,
