Table 5.2 Total Gifts by Purpose,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,All Member Schools,,,United States,,,Canada,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Gifts for Current Operations,,,,,,,,,,
,Unrestricted,320207,49%,,307014,49%,,18053,76%,
,"Restricted (e.g., for student scholarships)",329307,51%,,325232,51%,,5576,24%,
Total,,649514,69%,,632246,69%,,23629,56%,
Gifts for Other Purposes,,,,,,,,,,
,"Property, Buildings and Equipment",90295,31%,,84533,30%,,7885,42%,
,Endowment: Unrestricted Income (including quasi-en,24174,8%,,23687,8%,,667,4%,
,Endowment: Restricted Income (including quasi-endo,178041,61%,,170726,61%,,10010,54%,
Total,,292511,31%,,278947,31%,,18561,44%,
"Figures for ""All Member Schools"" and ""United States"" are in U.S. dollars, figures for ""Canada"" are in Canadian dollars.",,,,,,,,,,
