All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2024,24402,30472,2038,8750,4852,7826
,2025,24168,29588,2040,7860,5010,8520
Acceptances,,,,,,,
2024,,16980,21100,1220,6220,1854,6602
,% of applicants,70%,69%,60%,71%,38%,84%
2025,,18362,22330,1368,6352,1828,7202
,% of applicants,76%,76%,67%,81%,37%,85%
New Enrollments,,,,,,,
2024,,11964,15314,796,5088,1324,5104
,% of acceptances,71%,73%,65%,82%,71%,77%
2025,,12608,15574,864,4892,1382,5756
,% of acceptances,69%,70%,63%,77%,76%,80%
