Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2024,"1,122","2,230",122,200,120,944
,2025,994,"2,270",108,226,136,994
Acceptances,,,,,,,
2024,,878,"1,702",102,154,88,840
,% of applicants,78%,76%,84%,77%,73%,89%
2025,,778,"1,764",82,182,102,880
,% of applicants,78%,78%,76%,81%,75%,89%
New Enrollments,,,,,,,
2024,,586,"1,134",56,104,62,676
,% of acceptances,67%,67%,55%,68%,71%,81%
2025,,544,"1,242",54,136,74,684
,% of acceptances,70%,70%,66%,75%,73%,78%
