Table 2.2 Head Count Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,272,"29,100","27,590","1,333","11,235","4,017","73,275","4,746","78,021"
2022,280,"27,709","27,796","1,315","11,702","4,113","72,635","4,694","77,329"
2023,274,"26,146","28,024","1,301","11,307","4,198","70,976","5,219","76,195"
2024,281,"26,077","29,435","1,183","11,494","4,471","72,660","6,346","79,006"
2025,280,"26,630","30,299","1,235","11,508","4,611","74,283","7,081","81,364"
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,235,"27,664","25,587","1,172","10,954","3,773","69,150","3,966","73,116"
2022,243,"26,378","25,924","1,165","11,434","3,879","68,780","4,006","72,786"
2023,237,"24,853","26,091","1,132","11,002","3,968","67,046","4,471","71,517"
2024,245,"24,768","27,395","1,059","11,199","4,243","68,664","5,519","74,183"
2025,244,"25,367","28,087","1,134","11,201","4,390","70,179","6,200","76,379"
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,37,"1,436","2,003",161,281,244,"4,125",780,"4,905"
2022,37,"1,331","1,872",150,268,234,"3,855",688,"4,543"
2023,37,"1,293","1,933",169,305,230,"3,930",748,"4,678"
2024,36,"1,309","2,040",124,295,228,"3,996",827,"4,823"
2025,36,"1,263","2,212",101,307,221,"4,104",881,"4,985"
Table 2.2 reports fall head count enrollment over a five-year period.,,,,,,,,,
