Table 2.6 Relation between Full-Time Equivalent and Head Count,col_1,col_2,col_3,col_4
All Member Schools,,,,
,,Full-Time,Head,Full-Time Equivalent
Year,N,Equivalent,Count,as % of Head Count
2021,272,"47,874","78,021",61%
2022,280,"47,553","77,329",62%
2023,274,"46,393","76,195",61%
2024,281,"48,115","79,006",61%
2025,280,"50,250","81,364",62%
United States,,,,
,,Full-Time,Head,Full-Time Equivalent
Year,N,Equivalent,Count,as % of Head Count
2021,235,"45,215","73,116",62%
2022,243,"45,196","72,786",62%
2023,237,"43,812","71,517",61%
2024,245,"45,386","74,183",61%
2025,244,"47,322","76,379",62%
Canada,,,,
,,Full-Time,Head,Full-Time Equivalent
Year,N,Equivalent,Count,as % of Head Count
2021,37,"2,659","4,905",54%
2022,37,"2,356","4,543",52%
2023,37,"2,581","4,678",55%
2024,36,"2,728","4,823",57%
2025,36,"2,928","4,985",59%
The difference between full-time equivalent and head count enrollments is a function of the proportion of students who are part-time.,,,,
