Table 2.14 Completions by Degree Category,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2021,272,6158,7508,592,1809,419,16486
2022,280,5970,7637,568,1863,457,16495
2023,274,5447,7543,504,2170,428,16092
2024,281,5416,8096,507,2373,472,16864
2025,280,5203,8285,452,2229,511,16680
United States,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2021,235,5888,7027,532,1776,386,15609
2022,243,5647,7092,529,1829,424,15521
2023,237,5174,7021,469,2132,391,15187
2024,245,5145,7567,459,2331,436,15938
2025,244,4957,7753,414,2186,480,15790
Canada,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2021,37,270,481,60,33,33,877
2022,37,323,545,39,34,33,974
2023,37,273,522,35,38,37,905
2024,36,271,529,48,42,36,926
2025,36,246,532,38,43,31,890
