report_year,Year,National,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,"$242,497","$366,250","$207,803","$221,501","$252,448","$172,903"
2024,2015,"$244,644","$369,884","$203,674","$220,827","$262,797","$176,099"
2024,2016,"$253,951","$373,533","$218,514","$244,144","$263,315","$175,442"
2024,2017,"$237,736","$285,681","$217,354","$240,589","$270,999","$179,254"
2024,2018,"$226,071","$258,569","$204,696","$228,941","$260,776","$180,317"
2024,2019,"$233,510","$279,608","$208,938","$232,172","$269,636","$183,075"
2024,2020,"$239,192","$284,837","$215,889","$239,884","$274,842","$187,280"
2024,2021,"$243,033","$301,195","$206,651","$249,438","$276,244","$187,870"
2024,2022,"$231,810","$287,551","$206,323","$229,336","$254,401","$186,318"
2024,2023,"$251,438","$317,766","$219,244","$243,043","$274,558","$208,636"
2024,2024,"$261,271","$332,702","$226,724","$259,669","$280,845","$213,271"
