report_year,Year,National,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,242497.0326,366249.9541,207803.1311,221501.3787234,252447.9677,172903.2113
2024,2015,244644.2542,369883.7602,203673.633,220827.37711864,262797.1075,176099.1174
2024,2016,253950.5321,373533.2268,218513.5955,244143.84722222,263314.8634,175442.4524
2024,2017,237735.9908,285680.6359,217353.8056,240588.82325581,270999.0278,179254.4762
2024,2018,226071.2262,258568.9541,204696.0055,228941.26415094,260776.3681,180316.7427
2024,2019,233509.5524,279608.375,208937.7432,232171.5627907,269636.3187,183074.782
2024,2020,239191.6033,284836.7766,215889.0824,239884.42788462,274842.0722,187280.0524
2024,2021,243033.2739,301195.2796,206650.9454,249438.05660377,276243.7845,187870.1962
2024,2022,231810.3627,287550.6505,206323.3923,229335.64114833,254400.9454,186318.0728
2024,2023,251437.8674,317766.2649,219243.8343,243042.55399061,274558.2722,208636.3883
2024,2024,261270.6811,332702.3039,226724.4586,259668.93607306,280844.6923,213270.9466
