report_year,Selection,Number of Instances
2024,Compensation and Benefits (Insurance and Retirement),290
2024,Conflict Resolution/Reconciliation,162
2024,Copyright & Music Licensing,262
2024,Fundraising & Legacy Giving,308
2024,Governance,182
2024,Implementing Widening the Circle of Concern,148
2024,Leadership Development,369
2024,Multiplatform/Multichannel Events,90
2024,"Outreach, Growth, and Membership",398
2024,Pastoral Care Resources,206
2024,Religious Education,294
2024,Social Justice Organizing,232
2024,"Staffing, Hiring, and Human Resources",253
2024,Worship Resources,384
