report_year,Year,National,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,1591.2827067085,2207.6820949686,1307.0277710947,1622.4425396627,1552.0368215773,1210.50433868
2024,2015,1624.8810144569,2296.1049281054,1315.377636551,1640.3922253698,1621.3434390341,1217.038027255
2024,2016,1649.0730919441,2350.3323170732,1363.6510885952,1702.5592755214,1623.647819934,1186.0707272318
2024,2017,1554.3172196167,1827.621272268,1383.1955099876,1687.9294175233,1660.3071817563,1210.3221657771
2024,2018,1464.9765732781,1656.8972112335,1307.8924385767,1591.955785883,1598.2387863685,1172.9214373678
2024,2019,1533.5067442529,1766.5868570864,1363.6580120546,1660.6855412868,1664.026652199,1218.3428688576
2024,2020,1566.5911486701,1795.0894706849,1411.293164757,1679.0376215634,1697.9534939594,1257.6365758506
2024,2021,1639.823145182,1919.6902991468,1397.2187615459,1795.6761859486,1773.3056107249,1308.1749458604
2024,2022,1627.9883848712,1907.6370867069,1433.9566870176,1687.3600295712,1736.8167506062,1365.1132095604
2024,2023,1844.268844584,2167.0940022855,1581.8836801403,1887.6231175934,1956.3947983057,1611.8772877288
2024,2024,1942.0933568579,2308.3071527139,1647.2835179833,2071.5247340813,2049.6324484722,1628.988320356
