report_year,Year,Central-East,MidAmerica,New England,Pacific Western,Southern
2025,2015,31574,29110,31770,30148,30820
2025,2016,30832,28523,30974,29678,31063
2025,2017,30481,28285,30645,29380,31102
2025,2018,30587,28328,30488,29696,31669
2025,2019,30389,28039,30058,29491,31706
2025,2020,29831,27841,29717,29136,31272
2025,2021,29183,27066,29449,28196,30015
2025,2022,28037,26043,28406,26805,28116
2025,2023,27127,25086,27425,25261,26664
2025,2024,26088,24912,27422,24938,26970
2025,2025,25951,24955,27663,24683,27205
