report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,Allies for Disability Equity,3,0,0,2,0,1,0
2025,Allies for Gender Equity,9,1,0,3,2,3,0
2025,Allies for Immigration Equity,11,3,0,5,1,2,0
2025,Allies for Indigenous Sovereignty,6,0,0,6,0,0,0
2025,Allies for LGBTQIA Equity,45,6,3,14,7,15,0
2025,Allies for Racial Equity,31,6,2,10,5,8,0
2025,Asian/Pacific Islander,0,0,0,0,0,0,0
2025,Black/African Diaspora,5,1,0,1,1,2,0
2025,Black/Indigenous/People of Color (BIPOC),53,11,5,7,17,13,0
2025,Disabled People/People with Disabilities,13,3,3,3,3,1,0
2025,Indigenous/First Nations,10,2,1,2,4,1,0
2025,Latinx/Hispanic,4,0,1,2,0,1,0
2025,LGBTQIA,131,28,21,22,25,35,0
2025,Men/Male,208,35,35,33,59,46,0
2025,Transgender/Non-Binary,46,6,13,4,8,15,0
2025,White,8,1,1,3,1,2,0
2025,Women/Female,213,41,42,31,55,44,0
2025,Young Adults,99,19,21,10,24,25,0
2025,Youth,140,17,25,32,33,33,0
